metric,type,start_time,end_time,value,opt
Wakelock_in,service,1695916205018,1695916205019,*telephony-radio*,1001
Wakelock_in,service,1695916205019,1695916205027,*telephony-radio*,1000
Wakelock_in,service,1695916205027,1695916205028,*telephony-radio*,1001
Alarm,service,1695916205342,1695916205547,*alarm*:DetectMovementSPListener,1000
Wakelock_in,service,1695916205543,1695916205547,*alarm*:DetectMovementSPListener,1000
Wakelock_in,service,1695916206066,1695916206072,GCM_WORK,10044
Wakelock_in,service,1695916206239,1695916206245,Wakeful StateMachine: GeofencerStateMachine,10044
Wakelock_in,service,1695916206246,1695916206263,NlpWakeLock,10044
Alarm,service,1695916206240,1695916206295,*alarm*:com.whatsapp.alarm.CLIENT_PING_PERIODIC,10227
Wakelock_in,service,1695916206242,1695916206295,*alarm*:com.whatsapp.alarm.CLIENT_PING_PERIODIC,10227
Wakelock_in,service,1695916206300,1695916206301,*telephony-sem-radio*,1001
Alarm,service,1695916206242,1695916206304,*alarm*:com.samsung.action.EVERY_MINUTE_CLOCK_UPDATE,10113
Wakelock_in,service,1695916206295,1695916206304,*alarm*,10113
Wakelock_in,service,1695916206301,1695916206306,*telephony-sem-radio*,1001
Wakelock_in,service,1695916206309,1695916206310,*telephony-radio*,1001
Wakelock_in,service,1695916206307,1695916206314,*telephony-sem-radio*,1001
Wakelock_in,service,1695916206314,1695916206315,*telephony-sem-radio*,1001
Wakelock_in,service,1695916206316,1695916206319,*telephony-sem-radio*,1001
Wakelock_in,service,1695916206310,1695916206321,*telephony-radio*,1000
Wakelock_in,service,1695916206321,1695916206323,*telephony-radio*,1001
Wakelock_in,service,1695916206333,1695916206348,IntentOp:.common.broadcast.BackgroundBroadcastReceiverSupport$PersistentReceiverIntentOperation,10044
Charging status,string,1695916204957,1695916206439,c,
Plug,string,1695916204957,1695916206439,u,
Temperature,int,1695916204957,1695916206439,347,
Voltage,int,1695916204957,1695916206439,3827,
Plugged,bool,1695916204957,1695916206439,true,
Wakelock_in,service,1695916206487,1695916206488,*telephony-radio*,1001
Wakelock_in,service,1695916206489,1695916206493,*telephony-radio*,1000
Wakelock_in,service,1695916206439,1695916206508,NetworkStats,1000
Wakelock_in,service,1695916206493,1695916206521,*telephony-radio*,1001
Wakelock_in,service,1695916206521,1695916206526,*telephony-radio*,1000
Wakelock_in,service,1695916206527,1695916206527,*telephony-radio*,1001
Wakelock_in,service,1695916209126,1695916209132,GCM_WORK,10044
JobScheduler,service,1695916204957,1695916209266,com.whatsapp/androidx.work.impl.background.systemjob.SystemJobService,10227
Wakelock_in,service,1695916204957,1695916209266,*job*/com.whatsapp/androidx.work.impl.background.systemjob.SystemJobService,10227
Wakelock_in,service,1695916210793,1695916210840,NetworkStats,1000
Top app,service,1695916204957,1695916212063,com.sec.android.app.launcher,10113
Wakelock_in,service,1695916212042,1695916212417,*launch*,10031
Wakelock_in,service,1695916221493,1695916221496,GCM_WORK,10044
Wakelock_in,service,1695916224583,1695916224591,GCM_WORK,10044
Wakelock_in,service,1695916230742,1695916230755,GCM_WORK,10044
Wakelock_in,service,1695916233819,1695916233822,GCM_WORK,10044
Voltage,int,1695916206439,1695916236426,3831,
Coulomb charge,int,1695916204957,1695916236426,1717,
Wakelock_in,service,1695916243995,1695916244139,*launch*,10031
Wakelock_in,service,1695916248610,1695916248991,PushWakefulExecutor,10130
Wakelock_in,service,1695916249865,1695916249890,PushWakefulExecutor,10130
JobScheduler,service,1695916249679,1695916249928,com.facebook.appmanager/com.facebook.oxygen.appmanager.update.core.UpdateService,10194
Wakelock_in,service,1695916249690,1695916249929,*job*/com.facebook.appmanager/com.facebook.oxygen.appmanager.update.core.UpdateService,10194
JobScheduler,service,1695916249240,1695916251214,com.facebook.appmanager/com.facebook.oxygen.common.jobqueue.JobQueueService,10194
Wakelock_in,service,1695916249244,1695916251215,*job*/com.facebook.appmanager/com.facebook.oxygen.common.jobqueue.JobQueueService,10194
JobScheduler,service,1695916241383,1695916254327,com.whatsapp/androidx.work.impl.background.systemjob.SystemJobService,10227
Wakelock_in,service,1695916241385,1695916254327,*job*/com.whatsapp/androidx.work.impl.background.systemjob.SystemJobService,10227
Wakelock_in,service,1695916255337,1695916255525,NetworkStats,1000
Wakelock_in,service,1695916257425,1695916258595,*launch*,10031
Temp White List,service,1695916247390,1695916259859,com.facebook.katana,10130
Alarm,service,1695916260011,1695916260016,*alarm*:TIME_TICK,1000
Wakelock_in,service,1695916260013,1695916260016,*alarm*:TIME_TICK,1000
Wakelock_in,service,1695916264255,1695916264258,GCM_READ,10044
Wakelock_in,service,1695916264257,1695916264308,GCM_WORK,10044
Wakelock_in,service,1695916264300,1695916264355,GOOGLE_C2DM,10227
Wakelock_in,service,1695916264350,1695916264395,wake:com.google.firebase.iid.WakeLockHolder,10227
JobScheduler,service,1695916264860,1695916264871,com.whatsapp/.push.RegistrationIntentService,10227
Wakelock_in,service,1695916264862,1695916264871,*job*/com.whatsapp/.push.RegistrationIntentService,10227
Wakelock_in,service,1695916265256,1695916265336,*launch*,10031
Alarm,service,1695916265544,1695916265550,*alarm*:DetectMovementSPListener,1000
Wakelock_in,service,1695916265544,1695916265550,*alarm*:DetectMovementSPListener,1000
Coulomb charge,int,1695916236426,1695916266615,1721,
Foreground process,service,1695916264375,1695916266615,com.whatsapp,10227
Wakelock_in,service,1695916278217,1695916278401,*launch*,10031
Temp White List,service,1695916264342,1695916284353,"broadcast:u0a44:com.google.android.c2dm.intent.RECEIVE,reason:high-prio FCM",10227
Wakelock_in,service,1695916285345,1695916285862,NetworkStats,1000
Alarm,service,1695916291404,1695916291432,*alarm*:com.whatsapp.alarm.CLIENT_PING_PERIODIC,10227
Wakelock_in,service,1695916291406,1695916291432,*alarm*:com.whatsapp.alarm.CLIENT_PING_PERIODIC,10227
Coulomb charge,int,1695916266615,1695916296786,1717,
JobScheduler,service,1695916301463,1695916301480,com.whatsapp/androidx.work.impl.background.systemjob.SystemJobService,10227
Wakelock_in,service,1695916301466,1695916301480,*job*/com.whatsapp/androidx.work.impl.background.systemjob.SystemJobService,10227
Long Wakelocks,service,1695916241385,1695916301480,*job*/com.whatsapp/androidx.work.impl.background.systemjob.SystemJobService,10227
Alarm,service,1695916320010,1695916320027,*alarm*:TIME_TICK,1000
Wakelock_in,service,1695916320014,1695916320027,*alarm*:TIME_TICK,1000
