start_time,end_time,Duration (mS),Voltage (mV),Remaining_charge (mAh),Intensity (mA),Power (W),Consumed charge(mAh),Energy (J),Top app,Screen(ON/OFF),GPS(ON/OFF),Mobile_Radio(ON/OFF),WiFi(ON/OFF),Wifi radio,Camera(ON/OFF),Video (ON/OFF),Audio(ON/OFF),Wakelock_in (Service)
1695740267234,1695740267240,6,3744,1405,486.683791,1.822144,0.000811,0.010933,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['GCM_WORK' 'screen']
1695740267240,1695740272319,5079,3744,1405,486.683791,1.822144,0.686630,9.254670,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['screen']
1695740272319,1695740272323,4,3744,1405,486.683791,1.822144,0.000541,0.007289,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['*telephony-radio*' 'screen']
1695740272323,1695740272334,11,3744,1405,486.683791,1.822144,0.001487,0.020044,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['*telephony-radio*' 'screen']
1695740272334,1695740272336,2,3744,1405,486.683791,1.822144,0.000270,0.003644,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['*telephony-radio*' 'screen']
1695740272336,1695740276459,4123,3744,1405,486.683791,1.822144,0.557388,7.512700,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['screen']
1695740276459,1695740276461,2,3744,1405,486.683791,1.822144,0.000270,0.003644,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['GCM_WORK' 'screen']
1695740276461,1695740279541,3080,3744,1405,486.683791,1.822144,0.416385,5.612204,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['screen']
1695740279541,1695740279548,7,3744,1405,486.683791,1.822144,0.000946,0.012755,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['GCM_WORK' 'screen']
1695740279548,1695740280024,476,3744,1405,486.683791,1.822144,0.064350,0.867341,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['screen']
