metric,type,start_time,end_time,value,opt
Voltage,int,1695916204957,1695916206439,3827,
Voltage,int,1695916206439,1695916236426,3831,
Voltage,int,1695916236426,1695916353921,3793,
Voltage,int,1695916353921,1695916363751,3788,
Voltage,int,1695916363751,1695916373782,3826,
Voltage,int,1695916373782,1695916393976,3803,
Voltage,int,1695916393976,1695916404096,3828,
Voltage,int,1695916404096,1695916414277,3731,
Voltage,int,1695916414277,1695916424436,3772,
Voltage,int,1695916424436,1695916431391,3711,
