metric,type,start_time,end_time,value,opt
Wakelock_in,service,1695741139749,1695741139750,*telephony-radio*,1001
Wakelock_in,service,1695741139750,1695741139757,*telephony-radio*,1000
Wakelock_in,service,1695741139757,1695741139758,*telephony-radio*,1001
Wakelock_in,service,1695741142872,1695741142876,*telephony-sem-radio*,1001
Wakelock_in,service,1695741142876,1695741142880,*telephony-sem-radio*,1001
Wakelock_in,service,1695741142873,1695741142883,Wakeful StateMachine: GeofencerStateMachine,10044
Wakelock_in,service,1695741142880,1695741142886,*telephony-sem-radio*,1001
Wakelock_in,service,1695741142886,1695741142887,*telephony-sem-radio*,1001
Wakelock_in,service,1695741142890,1695741142890,*telephony-sem-radio*,1001
Wakelock_in,service,1695741142875,1695741142894,NlpWakeLock,10044
Wakelock_in,service,1695741142930,1695741142930,*telephony-radio*,1001
Wakelock_in,service,1695741142921,1695741142931,IntentOp:.common.broadcast.BackgroundBroadcastReceiverSupport$PersistentReceiverIntentOperation,10044
Wakelock_in,service,1695741142930,1695741142934,*telephony-radio*,1000
Wakelock_in,service,1695741142934,1695741142938,*telephony-radio*,1001
Wakelock_in,service,1695741143079,1695741143081,*telephony-radio*,1001
Wakelock_in,service,1695741143081,1695741143088,*telephony-radio*,1000
Wakelock_in,service,1695741143088,1695741143089,*telephony-radio*,1001
Wakelock_in,service,1695741143016,1695741143090,NetworkStats,1000
Wakelock_in,service,1695741143101,1695741143103,*telephony-radio*,1001
Wakelock_in,service,1695741143103,1695741143108,*telephony-radio*,1000
Wakelock_in,service,1695741143109,1695741143110,*telephony-radio*,1001
Wakelock_in,service,1695741147213,1695741147255,NetworkStats,1000
Wakelock_in,service,1695741149031,1695741149037,*telephony-radio*,1001
Wakelock_in,service,1695741149038,1695741149054,*telephony-radio*,1001
Wakelock_in,service,1695741149055,1695741149056,*telephony-radio*,1001
Wakelock_in,service,1695741152243,1695741152243,SyncLoopWakeLock,1000
Wakelock_in,service,1695741152626,1695741152640,*job*/com.osp.app.signin/androidx.work.impl.background.systemjob.SystemJobService,10075
Wakelock_in,service,1695741154634,1695741154675,NetworkStats,1000
Wakelock_in,service,1695741154634,1695741154686,*alarm*:com.android.server.action.NETWORK_STATS_POLL,1000
Wakelock_in,service,1695741154686,1695741154686,*alarm*,10113
Wakelock_in,service,1695741161879,1695741161938,*gms_scheduler*:internal,10044
Wakelock_in,service,1695741161940,1695741161955,*gms_scheduler*:internal,10044
Wakelock_in,service,1695741161909,1695741162101,*gms_scheduler*/com.google.android.gms/.icing.proxy.IcingInternalCorporaUpdateService,10044
Wakelock_in,service,1695741162109,1695741162130,*gms_scheduler*:internal,10044
Wakelock_in,service,1695741162132,1695741162192,*gms_scheduler*:internal,10044
Wakelock_in,service,1695741162160,1695741162202,*gms_scheduler*/com.google.android.gms/.stats.PlatformStatsCollectorService,10044
Wakelock_in,service,1695741162206,1695741162219,*gms_scheduler*:internal,10044
Wakelock_in,service,1695741162222,1695741162234,*gms_scheduler*:internal,10044
Wakelock_in,service,1695741178303,1695741178352,GCM_WORK,10044
Wakelock_in,service,1695741180019,1695741180022,*alarm*:TIME_TICK,1000
Wakelock_in,service,1695741181164,1695741181268,com.samsung.android.bixby.wakeup:DspControlService,1000
Wakelock_in,service,1695741181451,1695741181464,GCM_WORK,10044
Wakelock_in,service,1695741183808,1695741183817,*alarm*:DetectMovementSPListener,1000
Wakelock_in,service,1695741194936,1695741194959,*job*/com.whatsapp/.push.RegistrationIntentService,10227
Wakelock_in,service,1695741193800,1695741195410,*launch*,10227
Wakelock_in,service,1695741195433,1695741195439,*job*/com.whatsapp/.crash.upload.ExceptionsUploadService,10227
Wakelock_in,service,1695741195422,1695741195500,com.whatsapp:NtpAction#updateNtp,10227
Wakelock_in,service,1695741195418,1695741195511,*job*/com.whatsapp/.AlarmService,10227
Wakelock_in,service,1695741196878,1695741196883,GCM_WORK,10044
Wakelock_in,service,1695741197949,1695741197969,*launch*,10227
Wakelock_in,service,1695741197969,1695741198091,*launch*,10113
Wakelock_in,service,1695741198646,1695741199015,*launch*,10130
Wakelock_in,service,1695741199833,1695741199872,*job*/com.facebook.appmanager/com.facebook.oxygen.appmanager.update.core.UpdateService,10194
Wakelock_in,service,1695741199880,1695741199882,*job*/com.facebook.appmanager/com.facebook.oxygen.appmanager.update.core.UpdateService,10194
Wakelock_in,service,1695741199660,1695741200101,*job*/com.facebook.appmanager/com.facebook.oxygen.common.jobqueue.JobQueueService,10194
Wakelock_in,service,1695741200904,1695741200992,*launch*,10113
Wakelock_in,service,1695741202362,1695741202392,*alarm*:com.facebook.rti.mqtt.common.b.p.ACTION_ALARM.PreloadedFBNS.com.facebook.services,10035
Wakelock_in,service,1695741205919,1695741205922,*telephony-radio*,1001
Wakelock_in,service,1695741205922,1695741205929,*telephony-radio*,1000
Wakelock_in,service,1695741205929,1695741205934,*telephony-radio*,1001
Wakelock_in,service,1695741206522,1695741207682,*job*/com.android.vending/com.google.android.finsky.scheduler.process.mainimpl.PhoneskyJobServiceMain,10070
Wakelock_in,service,1695741212962,1695741212994,*walarm*:com.whatsapp.alarm.AVAILABLE_TIMEOUT,10227
Wakelock_in,service,1695741212982,1695741215988,com.whatsapp:sendinactive,10227
Wakelock_in,service,1695741224507,1695741224510,GCM_WORK,10044
Wakelock_in,service,1695741194949,1695741225009,*job*/com.whatsapp/androidx.work.impl.background.systemjob.SystemJobService,10227
Wakelock_in,service,1695741226083,1695741226334,*job*/com.android.vending/com.google.android.finsky.scheduler.process.mainimpl.PhoneskyJobServiceMain,10070
Wakelock_in,service,1695741189883,1695741229908,SmartThings:WakeLock for KeepAlive,10222
Wakelock_in,service,1695741232851,1695741232854,*job*/com.samsung.android.smartsuggestions/.extservice.util.LocalPackageJobService,10392
Wakelock_in,service,1695741232772,1695741232872,IntentOp:.common.broadcast.BackgroundBroadcastReceiverSupport$PersistentReceiverIntentOperation,10044
Wakelock_in,service,1695741232839,1695741232914,*job*/com.sec.android.app.shealth/com.samsung.android.app.shealth.wearable.packageinfo.PackageInformationJobIntentService,10218
Wakelock_in,service,1695741232875,1695741232987,IntentOp:.common.broadcast.BackgroundBroadcastReceiverSupport$PersistentReceiverIntentOperation,10044
Wakelock_in,service,1695741232756,1695741233008,IntentOp:.common.broadcast.BackgroundBroadcastReceiverSupport$GmsReceiverIntentOperation,10044
Wakelock_in,service,1695741233021,1695741233054,IntentOp:.common.broadcast.BackgroundBroadcastReceiverSupport$PersistentReceiverIntentOperation,10044
Wakelock_in,service,1695741233178,1695741233212,IntentOp:.common.broadcast.BackgroundBroadcastReceiverSupport$GmsReceiverIntentOperation,10044
Wakelock_in,service,1695741233169,1695741233215,*job*/com.samsung.android.app.routines/.domainmodel.metadata.impl.MetadataLoaderJobService,10009
Wakelock_in,service,1695741233677,1695741233679,GCM_WORK,10044
