start_time,end_time,Duration (mS),Voltage (mV),Remaining_charge (mAh),Intensity (mA),Power (W),Consumed charge(mAh),Energy (J),Top app,Screen(ON/OFF),GPS(ON/OFF),Mobile_Radio(ON/OFF),WiFi(ON/OFF),Wifi radio,Camera(ON/OFF),Video (ON/OFF),Audio(ON/OFF),Wakelock_in (Service)
1695908961254,1695908961276,22,3776,1226,170.441095,0.643586,0.001042,0.014159,['com.sec.android.app.launcher'],True,False,False,True,True,False,False,False,['*launch*' 'screen']
1695908961276,1695908961617,341,3776,1226,170.441095,0.643586,0.016145,0.219463,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['*launch*' 'screen']
1695908961617,1695908972458,10841,3776,1226,170.441095,0.643586,0.513264,6.977111,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['screen']
1695908972458,1695908972942,484,3776,1226,170.441095,0.643586,0.022915,0.311495,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['*job*/com.sec.android.diagmonagent/.dma.policy.PDJobService' 'screen']
1695908972942,1695908976488,3546,3776,1226,170.441095,0.643586,0.167884,2.282154,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['screen']
1695908976488,1695908979186,2698,3739,1226,170.441095,0.637279,0.127736,1.719379,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['screen']
1695908979186,1695908979196,10,3739,1226,170.441095,0.637279,0.000473,0.006373,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['*alarm*:DetectMovementSPListener' 'screen']
1695908979196,1695908993192,13996,3739,1226,170.441095,0.637279,0.662637,8.919360,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['screen']
1695908993192,1695908993354,162,3739,1226,170.441095,0.637279,0.007670,0.103239,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['*launch*' 'screen']
1695908993354,1695908995403,2049,3739,1226,170.441095,0.637279,0.097009,1.305785,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['screen']
1695908995403,1695908995415,12,3739,1226,170.441095,0.637279,0.000568,0.007647,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['GCM_WORK' 'screen']
1695908995415,1695909000022,4607,3739,1226,170.441095,0.637279,0.218117,2.935946,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['screen']
1695909000022,1695909000023,1,3739,1226,170.441095,0.637279,0.000047,0.000637,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['*alarm*:TIME_TICK' 'screen']
1695909000023,1695909006648,6625,3739,1226,170.441095,0.637279,0.313659,4.221975,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['screen']
