start_time,end_time,Duration (mS),Voltage (mV),Remaining_charge (mAh),Intensity (mA),Power (W),Consumed charge(mAh),Energy (J),Top app,Screen(ON/OFF),GPS(ON/OFF),Mobile_Radio(ON/OFF),WiFi(ON/OFF),Wifi radio,Camera(ON/OFF),Video (ON/OFF),Audio(ON/OFF),Wakelock_in (Service)
1695995340024,1695995340026,2,3863,2022,156.719342,0.605407,0.000087,0.001211,['com.example.robotinteractionOttimizzata'],True,False,False,True,True,False,False,False,"['*alarm*:TIME_TICK'
 '*job*/com.whatsapp/androidx.work.impl.background.systemjob.SystemJobService'
 'screen']"
1695995340026,1695995341327,1301,3863,2022,156.719342,0.605407,0.056637,0.787634,['com.example.robotinteractionOttimizzata'],True,False,False,True,True,False,False,False,"['*job*/com.whatsapp/androidx.work.impl.background.systemjob.SystemJobService'
 'screen']"
1695995341327,1695995341343,16,3863,2022,156.719342,0.605407,0.000697,0.009687,['com.example.robotinteractionOttimizzata'],True,False,False,True,True,False,False,False,"['*alarm*:DetectMovementSPListener'
 '*job*/com.whatsapp/androidx.work.impl.background.systemjob.SystemJobService'
 'screen']"
1695995341343,1695995358443,17100,3863,2022,156.719342,0.605407,0.744417,10.352457,['com.example.robotinteractionOttimizzata'],True,False,False,True,True,False,False,False,"['*job*/com.whatsapp/androidx.work.impl.background.systemjob.SystemJobService'
 'screen']"
1695995358443,1695995360759,2316,3814,2022,156.719342,0.597728,0.100823,1.384337,['com.example.robotinteractionOttimizzata'],True,False,False,True,True,False,False,False,"['*job*/com.whatsapp/androidx.work.impl.background.systemjob.SystemJobService'
 'screen']"
1695995360759,1695995360812,53,3814,2022,156.719342,0.597728,0.002307,0.031680,['com.example.robotinteractionOttimizzata'],True,False,False,True,True,False,False,False,['screen']
1695995360812,1695995360825,13,3814,2022,156.719342,0.597728,0.000566,0.007770,['com.example.robotinteractionOttimizzata'],True,False,False,True,True,False,False,False,"['*job*/com.whatsapp/androidx.work.impl.background.systemjob.SystemJobService'
 'screen']"
1695995360825,1695995362969,2144,3814,2022,156.719342,0.597728,0.093335,1.281528,['com.example.robotinteractionOttimizzata'],True,False,False,True,True,False,False,False,['screen']
1695995362969,1695995362974,5,3814,2022,156.719342,0.597728,0.000218,0.002989,['com.example.robotinteractionOttimizzata'],True,False,False,True,True,False,False,False,['GCM_WORK' 'screen']
1695995362974,1695995363657,683,3814,2022,156.719342,0.597728,0.029733,0.408248,['com.example.robotinteractionOttimizzata'],True,False,False,True,True,False,False,False,['screen']
1695995363657,1695995363806,149,3814,2022,156.719342,0.597728,0.006486,0.089061,['com.example.robotinteractionOttimizzata'],True,False,False,True,True,False,False,False,['*launch*' 'screen']
1695995363806,1695995365026,1220,3814,2022,156.719342,0.597728,0.053110,0.729228,['com.example.robotinteractionOttimizzata'],True,False,False,True,True,False,False,False,['screen']
1695995365026,1695995365178,152,3814,2022,156.719342,0.597728,0.006617,0.090855,['com.example.robotinteractionOttimizzata'],True,False,False,True,True,False,False,False,"['*job*/com.whatsapp/androidx.work.impl.background.systemjob.SystemJobService'
 'screen']"
1695995365178,1695995365186,8,3814,2022,156.719342,0.597728,0.000348,0.004782,['com.example.robotinteractionOttimizzata'],True,False,False,True,True,False,False,False,"['RILJ_ACK_WL'
 '*job*/com.whatsapp/androidx.work.impl.background.systemjob.SystemJobService'
 'screen']"
1695995365186,1695995365191,5,3814,2022,156.719342,0.597728,0.000218,0.002989,['com.example.robotinteractionOttimizzata'],True,False,False,True,True,False,False,False,"['*telephony-radio*' 'RILJ_ACK_WL'
 '*job*/com.whatsapp/androidx.work.impl.background.systemjob.SystemJobService'
 'screen']"
1695995365191,1695995365233,42,3814,2022,156.719342,0.597728,0.001828,0.025105,['com.example.robotinteractionOttimizzata'],True,False,False,True,True,False,False,False,"['*telephony-radio*' 'RILJ_ACK_WL'
 '*job*/com.whatsapp/androidx.work.impl.background.systemjob.SystemJobService'
 'screen']"
1695995365233,1695995365235,2,3814,2022,156.719342,0.597728,0.000087,0.001195,['com.example.robotinteractionOttimizzata'],True,False,False,True,True,False,False,False,"['*telephony-radio*' 'RILJ_ACK_WL'
 '*job*/com.whatsapp/androidx.work.impl.background.systemjob.SystemJobService'
 'screen']"
1695995365235,1695995365438,203,3814,2022,156.719342,0.597728,0.008837,0.121339,['com.example.robotinteractionOttimizzata'],True,False,False,True,True,False,False,False,"['RILJ_ACK_WL'
 '*job*/com.whatsapp/androidx.work.impl.background.systemjob.SystemJobService'
 'screen']"
1695995365438,1695995376112,10674,3814,2022,156.719342,0.597728,0.464673,6.380144,['com.example.robotinteractionOttimizzata'],True,False,False,True,True,False,False,False,"['*job*/com.whatsapp/androidx.work.impl.background.systemjob.SystemJobService'
 'screen']"
1695995376112,1695995377313,1201,3814,2022,156.719342,0.597728,0.052283,0.717871,['com.example.robotinteractionOttimizzata'],True,False,False,True,True,False,False,False,"['*launch*'
 '*job*/com.whatsapp/androidx.work.impl.background.systemjob.SystemJobService'
 'screen']"
1695995377313,1695995377323,10,3814,2022,156.719342,0.597728,0.000435,0.005977,['com.example.robotinteractionOttimizzata'],True,False,False,True,True,False,False,False,"['*job*/com.whatsapp/androidx.work.impl.background.systemjob.SystemJobService'
 'screen']"
1695995377323,1695995377324,1,3814,2022,156.719342,0.597728,0.000044,0.000598,['com.example.robotinteractionOttimizzata'],True,False,False,True,True,False,False,False,"['RILJ_ACK_WL'
 '*job*/com.whatsapp/androidx.work.impl.background.systemjob.SystemJobService'
 'screen']"
1695995377324,1695995377344,20,3814,2022,156.719342,0.597728,0.000871,0.011955,['com.example.robotinteractionOttimizzata'],True,False,False,True,True,False,False,False,"['*telephony-radio*' 'RILJ_ACK_WL'
 '*job*/com.whatsapp/androidx.work.impl.background.systemjob.SystemJobService'
 'screen']"
1695995377344,1695995377345,1,3814,2022,156.719342,0.597728,0.000044,0.000598,['com.example.robotinteractionOttimizzata'],True,False,False,True,True,False,False,False,"['*telephony-radio*' 'RILJ_ACK_WL'
 '*job*/com.whatsapp/androidx.work.impl.background.systemjob.SystemJobService'
 'screen']"
1695995377345,1695995377547,202,3814,2022,156.719342,0.597728,0.008794,0.120741,['com.example.robotinteractionOttimizzata'],True,False,False,True,True,False,False,False,"['RILJ_ACK_WL'
 '*job*/com.whatsapp/androidx.work.impl.background.systemjob.SystemJobService'
 'screen']"
1695995377547,1695995378412,865,3814,2022,156.719342,0.597728,0.037656,0.517034,['com.example.robotinteractionOttimizzata'],True,False,False,True,True,False,False,False,"['*job*/com.whatsapp/androidx.work.impl.background.systemjob.SystemJobService'
 'screen']"
