start_time,end_time,Duration (mS),Voltage (mV),Remaining_charge (mAh),Intensity (mA),Power (W),Consumed charge(mAh),Energy (J),Top app,Screen(ON/OFF),GPS(ON/OFF),Mobile_Radio(ON/OFF),WiFi(ON/OFF),Wifi radio,Camera(ON/OFF),Video (ON/OFF),Audio(ON/OFF),Wakelock_in (Service)
1695741282970,1695741282975,5,3727,1341,476.789617,1.776995,0.000662,0.008885,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['GCM_WORK' 'screen']
1695741282975,1695741286035,3060,3727,1341,476.789617,1.776995,0.405271,5.437604,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['screen']
1695741286035,1695741286040,5,3727,1341,476.789617,1.776995,0.000662,0.008885,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['GCM_WORK' 'screen']
1695741286040,1695741286319,279,3727,1341,476.789617,1.776995,0.036951,0.495782,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['screen']
1695741286319,1695741286320,1,3727,1341,476.789617,1.776995,0.000132,0.001777,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['*telephony-radio*' 'screen']
1695741286320,1695741286328,8,3727,1341,476.789617,1.776995,0.001060,0.014216,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['*telephony-radio*' 'screen']
1695741286328,1695741286329,1,3727,1341,476.789617,1.776995,0.000132,0.001777,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['*telephony-radio*' 'screen']
1695741286329,1695741293690,7361,3727,1341,476.789617,1.776995,0.974902,13.080459,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['screen']
1695741293690,1695741295309,1619,3727,1337,982.532751,3.661900,0.441867,5.928615,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['screen']
1695741295309,1695741295312,3,3727,1337,982.532751,3.661900,0.000819,0.010986,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['GCM_WORK' 'screen']
1695741295312,1695741297823,2511,3727,1337,982.532751,3.661900,0.685317,9.195030,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['screen']
1695741297823,1695741297958,135,3727,1337,982.532751,3.661900,0.036845,0.494356,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['*launch*' 'screen']
1695741297958,1695741300022,2064,3727,1337,982.532751,3.661900,0.563319,7.558161,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['screen']
1695741300022,1695741300024,2,3727,1337,982.532751,3.661900,0.000546,0.007324,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['*alarm*:TIME_TICK' 'screen']
1695741300024,1695741303812,3788,3727,1337,982.532751,3.661900,1.033843,13.871276,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['screen']
1695741303812,1695741303817,5,3727,1337,982.532751,3.661900,0.001365,0.018309,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['*alarm*:DetectMovementSPListener' 'screen']
1695741303817,1695741308271,4454,3727,1337,982.532751,3.661900,1.215611,16.310101,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['screen']
1695741308271,1695741309468,1197,3727,1337,982.532751,3.661900,0.326692,4.383294,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['*launch*' 'screen']
1695741309468,1695741313151,3683,3727,1337,982.532751,3.661900,1.005186,13.486776,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['screen']
1695741313151,1695741313302,151,3727,1337,982.532751,3.661900,0.041212,0.552947,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['*launch*' 'screen']
