metric,type,start_time,end_time,value,opt
Camera,bool,1695721730142,1695721733463,true,
Camera,bool,1695721734987,1695721737150,true,
Camera,bool,1695721767831,1695721768847,true,
Camera,bool,1695721799778,1695721800011,true,
Camera,bool,1695721824764,1695721825103,true,
Camera,bool,1695721862897,1695721863798,true,
Camera,bool,1695721884520,1695721885104,true,
Camera,bool,1695721913214,1695721914180,true,
Camera,bool,1695721939020,1695721939950,true,
Camera,bool,1695722010063,1695722010987,true,
Camera,bool,1695722045900,1695722046806,true,
Camera,bool,1695722071305,1695722072287,true,
