metric,type,start_time,end_time,value,opt
Coulomb charge,int,1695721726081,1695721729317,3059,
Coulomb charge,int,1695721729317,1695721789519,3063,
Coulomb charge,int,1695721789519,1695721880189,3055,
Coulomb charge,int,1695721880189,1695721910331,3051,
Coulomb charge,int,1695721910331,1695721939950,3047,
Coulomb charge,int,1695721939950,1695721970285,3043,
Coulomb charge,int,1695721970285,1695722000830,3039,
Coulomb charge,int,1695722000830,1695722031002,3035,
Coulomb charge,int,1695722031002,1695722054177,3027,
Coulomb charge,int,1695722054177,1695722114579,3023,
Coulomb charge,int,1695722114579,1695722145535,3019,
