metric,type,start_time,end_time,value,opt
Voltage,int,1695721726081,1695721729317,4009,
Voltage,int,1695721729317,1695721759328,4012,
Voltage,int,1695721759328,1695721910331,3968,
Voltage,int,1695721910331,1695722054177,3939,
Voltage,int,1695722054177,1695722064010,3962,
Voltage,int,1695722064010,1695722074018,3995,
Voltage,int,1695722074018,1695722084065,3919,
Voltage,int,1695722084065,1695722104420,3993,
Voltage,int,1695722104420,1695722124716,3949,
Voltage,int,1695722124716,1695722134855,3986,
Voltage,int,1695722134855,1695722145025,3937,
Voltage,int,1695722145025,1695722145535,3981,
