metric,type,start_time,end_time,value,opt
Wakelock_in,service,1695721726183,1695721726185,*telephony-radio*,1001
Wakelock_in,service,1695721726186,1695721726193,*telephony-radio*,1000
Wakelock_in,service,1695721726193,1695721726194,*telephony-radio*,1001
Wakelock_in,service,1695721726621,1695721726623,*telephony-sem-radio*,1001
Wakelock_in,service,1695721726623,1695721726628,*telephony-sem-radio*,1001
Wakelock_in,service,1695721726628,1695721726630,*telephony-sem-radio*,1001
Wakelock_in,service,1695721726631,1695721726632,*telephony-sem-radio*,1001
Wakelock_in,service,1695721726639,1695721726640,*telephony-sem-radio*,1001
Wakelock_in,service,1695721727666,1695721727714,NetworkStats,1000
Wakelock_in,service,1695721727718,1695721727765,NetworkStats,1000
Wakelock_in,service,1695721729175,1695721729182,Wakeful StateMachine: GeofencerStateMachine,10044
Wakelock_in,service,1695721729207,1695721729210,*telephony-radio*,1001
Wakelock_in,service,1695721729215,1695721729216,*telephony-sem-radio*,1001
Wakelock_in,service,1695721729216,1695721729218,*telephony-sem-radio*,1001
Wakelock_in,service,1695721729211,1695721729219,*telephony-radio*,1000
Wakelock_in,service,1695721729219,1695721729225,*telephony-radio*,1001
Wakelock_in,service,1695721729218,1695721729226,*telephony-sem-radio*,1001
Wakelock_in,service,1695721729182,1695721729232,NlpWakeLock,10044
Wakelock_in,service,1695721729226,1695721729233,*telephony-sem-radio*,1001
Wakelock_in,service,1695721729236,1695721729237,*telephony-sem-radio*,1001
Wakelock_in,service,1695721729251,1695721729254,*alarm*:*job.delay*,10119
Wakelock_in,service,1695721729273,1695721729282,IntentOp:.common.broadcast.BackgroundBroadcastReceiverSupport$PersistentReceiverIntentOperation,10044
Wakelock_in,service,1695721729288,1695721729288,*telephony-sem-radio*,1001
Wakelock_in,service,1695721729290,1695721729291,*telephony-radio*,1001
Wakelock_in,service,1695721729288,1695721729294,*telephony-sem-radio*,1001
Wakelock_in,service,1695721729294,1695721729295,*telephony-sem-radio*,1001
Wakelock_in,service,1695721729292,1695721729296,*telephony-radio*,1001
Wakelock_in,service,1695721729295,1695721729298,*telephony-sem-radio*,1001
Wakelock_in,service,1695721729304,1695721729304,*telephony-sem-radio*,1001
Wakelock_in,service,1695721729352,1695721729352,motion_service,1000
Wakelock_in,service,1695721729296,1695721729353,*telephony-radio*,1001
Wakelock_in,service,1695721729353,1695721729355,*telephony-radio*,1001
Wakelock_in,service,1695721729357,1695721729358,*telephony-radio*,1001
Wakelock_in,service,1695721729317,1695721729397,NetworkStats,1000
Wakelock_in,service,1695721729411,1695721729411,*telephony-radio*,1001
Wakelock_in,service,1695721729411,1695721729418,*telephony-radio*,1000
Wakelock_in,service,1695721729418,1695721729419,*telephony-radio*,1001
Wakelock_in,service,1695721729421,1695721729422,*telephony-radio*,1001
Wakelock_in,service,1695721729422,1695721729426,*telephony-radio*,1000
Wakelock_in,service,1695721729426,1695721729427,*telephony-radio*,1001
Wakelock_in,service,1695721729300,1695721729502,RILJ_ACK_WL,1001
Wakelock_in,service,1695721729520,1695721729522,Wakeful StateMachine: GeofencerStateMachine,10044
Wakelock_in,service,1695721729531,1695721729539,NlpWakeLock,10044
Wakelock_in,service,1695721729713,1695721729714,GCM_WORK,10044
Wakelock_in,service,1695721729895,1695721730009,Doze,10009
Wakelock_in,service,1695721730718,1695721730737,*job*/com.microsoft.appmanager/.network.service.NetworkDataMetricsService,10119
Wakelock_in,service,1695721730742,1695721730772,NetworkStats,1000
Wakelock_in,service,1695721731525,1695721731529,Icing,10118
Wakelock_in,service,1695721731529,1695721731532,Icing,10044
Wakelock_in,service,1695721732095,1695721732095,GCM_WORK,10044
Wakelock_in,service,1695721732596,1695721732596,*telephony-sem-radio*,1001
Wakelock_in,service,1695721732596,1695721732597,*telephony-sem-radio*,1001
Wakelock_in,service,1695721732597,1695721732601,*telephony-sem-radio*,1001
Wakelock_in,service,1695721732601,1695721732601,*telephony-sem-radio*,1001
Wakelock_in,service,1695721732602,1695721732602,*telephony-sem-radio*,1001
Wakelock_in,service,1695721733406,1695721733437,NetworkStats,1000
Wakelock_in,service,1695721733441,1695721733463,NetworkStats,1000
Wakelock_in,service,1695721731502,1695721734510,AudioMix,1041
Wakelock_in,service,1695721732723,1695721734987,SmartFaceService,1000
Wakelock_in,service,1695721736604,1695721736609,CMWakeLock,10044
Wakelock_in,service,1695721737115,1695721737118,NlpWakeLock,10044
Wakelock_in,service,1695721737130,1695721737150,IntentOp:.common.broadcast.BackgroundBroadcastReceiverSupport$PersistentReceiverIntentOperation,10044
Wakelock_in,service,1695721737223,1695721737225,LockoutResetMonitor:SendLockoutReset,1000
Wakelock_in,service,1695721737225,1695721737225,lockoutResetCallback,10009
Wakelock_in,service,1695721738569,1695721738575,*job*/com.osp.app.signin/androidx.work.impl.background.systemjob.SystemJobService,10075
