metric,type,start_time,end_time,value,opt
Wakelock_in,service,1657388909610,1657388909611,*telephony-radio*,1001
Wakelock_in,service,1657388909611,1657388909616,*telephony-radio*,1000
Wakelock_in,service,1657388909616,1657388909630,*telephony-radio*,1001
Wakelock_in,service,1657388909602,1657388911539,AudioMix,1041
Wakelock_in,service,1657388911734,1657388911748,AudioMix,1041
Wakelock_in,service,1657388911748,1657388911939,AudioMix,10408
Wakelock_in,service,1657388911939,1657388914146,AudioMix,1041
Wakelock_in,service,1657388914146,1657388914299,AudioMix,10408
Wakelock_in,service,1657388914299,1657388916635,AudioMix,1041
Wakelock_in,service,1657388916635,1657388916819,AudioMix,10408
Wakelock_in,service,1657388916819,1657388919829,AudioMix,1041
Wakelock_in,service,1657388920051,1657388920059,AudioMix,1041
Wakelock_in,service,1657388920631,1657388920638,Icing,10065
Wakelock_in,service,1657388920638,1657388920642,Icing,10019
Wakelock_in,service,1657388920658,1657388920680,CMWakeLock,10019
Wakelock_in,service,1657388920060,1657388920737,AudioMix,10408
Wakelock_in,service,1657388920786,1657388920811,Icing,10019
Wakelock_in,service,1657388920578,1657388921334,AudioMix,1041
Wakelock_in,service,1657388921335,1657388921738,AudioMix,10408
Wakelock_in,service,1657388921297,1657388921761,*job*/com.google.android.youtube/androidx.work.impl.background.systemjob.SystemJobService,10119
Wakelock_in,service,1657388921793,1657388921946,*job*/com.google.android.youtube/androidx.work.impl.background.systemjob.SystemJobService,10119
Wakelock_in,service,1657388922991,1657388922993,Wakeful StateMachine: GeofencerStateMachine,10019
Wakelock_in,service,1657388922994,1657388922996,Wakeful StateMachine: GeofencerStateMachine,10019
Wakelock_in,service,1657388921739,1657388923582,AudioMix,1041
Wakelock_in,service,1657388924010,1657388924362,*job*/com.google.android.youtube/androidx.work.impl.background.systemjob.SystemJobService,10119
Wakelock_in,service,1657388925690,1657388925706,CMWakeLock,10019
Wakelock_in,service,1657388927000,1657388927009,AudioMix,1041
Wakelock_in,service,1657388927011,1657388927200,AudioMix,10408
Wakelock_in,service,1657388927201,1657388929407,AudioMix,1041
Wakelock_in,service,1657388929407,1657388929584,AudioMix,10408
Wakelock_in,service,1657388929584,1657388931655,AudioMix,1041
Wakelock_in,service,1657388936088,1657388936089,*telephony-radio*,1001
Wakelock_in,service,1657388936064,1657388936090,NetworkStats,1000
Wakelock_in,service,1657388936062,1657388936094,*alarm*:com.android.server.action.NETWORK_STATS_POLL,1000
Wakelock_in,service,1657388936094,1657388936095,*alarm*,10346
Wakelock_in,service,1657388936089,1657388936097,*telephony-radio*,1000
Wakelock_in,service,1657388936095,1657388936108,*alarm*,10019
Wakelock_in,service,1657388936108,1657388936109,*telephony-radio*,1001
Wakelock_in,service,1657388936156,1657388936156,*telephony-radio*,1001
Wakelock_in,service,1657388936157,1657388936161,*telephony-radio*,1000
Wakelock_in,service,1657388936162,1657388936167,*telephony-radio*,1001
Wakelock_in,service,1657388936109,1657388936173,*gms_scheduler*:internal,10019
Wakelock_in,service,1657388936143,1657388936229,*gms_scheduler*/com.google.android.gms/.tapandpay.gcmtask.TapAndPayGcmTaskService,10019
Wakelock_in,service,1657388936231,1657388936242,*gms_scheduler*:internal,10019
Wakelock_in,service,1657388936259,1657388936260,*telephony-radio*,1001
Wakelock_in,service,1657388936260,1657388936263,*telephony-radio*,1000
Wakelock_in,service,1657388936264,1657388936268,*telephony-radio*,1001
Wakelock_in,service,1657388936243,1657388936352,*gms_scheduler*:internal,10019
Wakelock_in,service,1657388936275,1657388936353,*gms_scheduler*/com.google.android.gms/.gcm.HeartbeatAlarm$ConnectionInfoPersistService,10019
Wakelock_in,service,1657388936354,1657388936362,*gms_scheduler*:internal,10019
Wakelock_in,service,1657388936363,1657388936399,*gms_scheduler*:internal,10019
Wakelock_in,service,1657388936388,1657388936415,*gms_scheduler*/com.google.android.gms/.gcm.HeartbeatAlarm$ConnectionInfoPersistService,10019
Wakelock_in,service,1657388936417,1657388936422,*gms_scheduler*:internal,10019
Wakelock_in,service,1657388936462,1657388936470,AudioMix,1041
Wakelock_in,service,1657388936426,1657388936479,*gms_scheduler*:internal,10019
Wakelock_in,service,1657388936455,1657388936487,*gms_scheduler*/com.google.android.gms/.common.stats.net.NetworkReportService,10019
Wakelock_in,service,1657388936488,1657388936493,*gms_scheduler*:internal,10019
Wakelock_in,service,1657388936494,1657388936501,*gms_scheduler*:internal,10019
Wakelock_in,service,1657388936321,1657388936612,*gms_scheduler*/com.google.android.gms/.checkin.EventLogService,10019
Wakelock_in,service,1657388936606,1657388936631,IntentOp:.common.broadcast.BackgroundBroadcastReceiverSupport$PersistentReceiverIntentOperation,10019
Wakelock_in,service,1657388936613,1657388936637,*gms_scheduler*:internal,10019
Wakelock_in,service,1657388936640,1657388936650,*gms_scheduler*:internal,10019
Wakelock_in,service,1657388936797,1657388936805,IntentOp:.common.broadcast.BackgroundBroadcastReceiverSupport$PersistentReceiverIntentOperation,10019
Wakelock_in,service,1657388936470,1657388937143,AudioMix,10408
Wakelock_in,service,1657388909602,1657388937761,AudioDirectOut,10408
Wakelock_in,service,1657388937761,1657388937840,AudioDirectOut,1041
Wakelock_in,service,1657388937144,1657388938174,AudioMix,1041
Wakelock_in,service,1657388938175,1657388938918,AudioMix,10408
Wakelock_in,service,1657388938918,1657388939475,AudioMix,1041
Wakelock_in,service,1657388939475,1657388939874,AudioMix,10408
Wakelock_in,service,1657388940000,1657388940001,*alarm*:TIME_TICK,1000
Wakelock_in,service,1657388941938,1657388941949,*alarm*:com.google.android.gms.gcm.ACTION_CHECK_QUEUE,10019
Wakelock_in,service,1657388941945,1657388941994,*gms_scheduler*:internal,10019
Wakelock_in,service,1657388941982,1657388942164,*gms_scheduler*/com.google.android.gms/.clearcut.uploader.QosUploaderService,10019
Wakelock_in,service,1657388942165,1657388942171,*gms_scheduler*:internal,10019
Wakelock_in,service,1657388942172,1657388942180,*gms_scheduler*:internal,10019
Wakelock_in,service,1657388939874,1657388942889,AudioMix,1041
Wakelock_in,service,1657388945297,1657388945308,*alarm*:com.google.android.gms.gcm.ACTION_CHECK_QUEUE,10019
Wakelock_in,service,1657388945302,1657388945361,*gms_scheduler*:internal,10019
Wakelock_in,service,1657388945339,1657388945602,*gms_scheduler*/com.google.android.gms/.clearcut.uploader.QosUploaderService,10019
Wakelock_in,service,1657388945603,1657388945612,*gms_scheduler*:internal,10019
Wakelock_in,service,1657388945613,1657388945623,*gms_scheduler*:internal,10019
Wakelock_in,service,1657388954624,1657388954624,AudioMix,1041
Wakelock_in,service,1657388954624,1657388955301,AudioMix,10408
Wakelock_in,service,1657388955301,1657388956332,AudioMix,1041
Wakelock_in,service,1657388956332,1657388956996,AudioMix,10408
Wakelock_in,service,1657388956996,1657388957892,AudioMix,1041
Wakelock_in,service,1657388957893,1657388958319,AudioMix,10408
Wakelock_in,service,1657388958319,1657388959820,AudioMix,1041
Wakelock_in,service,1657388959821,1657388959995,AudioMix,10408
Wakelock_in,service,1657388959995,1657388963013,AudioMix,1041
Wakelock_in,service,1657388964243,1657388964244,AudioMix,1041
Wakelock_in,service,1657388964244,1657388964436,AudioMix,10408
Wakelock_in,service,1657388936122,1657388966127,LocWeather,10346
Wakelock_in,service,1657388964436,1657388966700,AudioMix,1041
Wakelock_in,service,1657388966700,1657388966877,AudioMix,10408
Wakelock_in,service,1657388937841,1657388966992,AudioDirectOut,10408
Wakelock_in,service,1657388966992,1657388967069,AudioDirectOut,1041
Wakelock_in,service,1657388966877,1657388969887,AudioMix,1041
Wakelock_in,service,1657388973356,1657388973359,AudioMix,1041
Wakelock_in,service,1657388973359,1657388974029,AudioMix,10408
Wakelock_in,service,1657388974030,1657388976286,AudioMix,1041
Wakelock_in,service,1657388976289,1657388976709,AudioMix,10408
Wakelock_in,service,1657388976710,1657388979726,AudioMix,1041
Wakelock_in,service,1657388986227,1657388987187,AudioMix,1041
Wakelock_in,service,1657388987187,1657388987382,AudioMix,10408
Wakelock_in,service,1657388987382,1657388990397,AudioMix,1041
