start_time,end_time,Duration (mS),Voltage (mV),Remaining_charge (mAh),Intensity (mA),Power (W),Consumed charge(mAh),Energy (J),Top app,Screen(ON/OFF),GPS(ON/OFF),Mobile_Radio(ON/OFF),WiFi(ON/OFF),Wifi radio,Camera(ON/OFF),Video (ON/OFF),Audio(ON/OFF),Wakelock_in (Service)
1695740804271,1695740804274,3,3729,1373,926.253498,3.453999,0.000772,0.010362,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['GCM_WORK' 'screen']
1695740804274,1695740804313,39,3729,1373,926.253498,3.453999,0.010034,0.134706,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['screen']
1695740804313,1695740804315,2,3729,1373,926.253498,3.453999,0.000515,0.006908,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['*telephony-radio*' 'screen']
1695740804315,1695740804327,12,3729,1373,926.253498,3.453999,0.003088,0.041448,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['*telephony-radio*' 'screen']
1695740804327,1695740804328,1,3729,1373,926.253498,3.453999,0.000257,0.003454,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['*telephony-radio*' '*telephony-radio*' 'screen']
1695740804328,1695740807358,3030,3729,1373,926.253498,3.453999,0.779597,10.465618,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['*telephony-radio*' 'screen']
1695740807358,1695740807360,2,3729,1373,926.253498,3.453999,0.000515,0.006908,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['GCM_WORK' '*telephony-radio*' 'screen']
1695740807360,1695740810807,3447,3729,1373,926.253498,3.453999,0.886888,11.905936,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['*telephony-radio*' 'screen']
1695740810807,1695740814040,3233,3729,1365,475.938657,1.774775,0.427419,5.737848,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['*telephony-radio*' 'screen']
1695740814040,1695740814047,7,3729,1365,475.938657,1.774775,0.000925,0.012423,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,"['*walarm*:WifiP2pService Idle Shutdown Message Timeout'
 '*telephony-radio*' 'screen']"
1695740814047,1695740820062,6015,3729,1365,475.938657,1.774775,0.795214,10.675273,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['*telephony-radio*' 'screen']
1695740820062,1695740820064,2,3729,1365,475.938657,1.774775,0.000264,0.003550,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['*alarm*:TIME_TICK' '*telephony-radio*' 'screen']
1695740820064,1695740820391,327,3729,1365,475.938657,1.774775,0.043231,0.580352,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['*telephony-radio*' 'screen']
1695740820391,1695740820524,133,3729,1365,475.938657,1.774775,0.017583,0.236045,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['*launch*' '*telephony-radio*' 'screen']
1695740820524,1695740823844,3320,3729,1365,475.938657,1.774775,0.438921,5.892254,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['*telephony-radio*' 'screen']
1695740823844,1695740823849,5,3729,1365,475.938657,1.774775,0.000661,0.008874,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['*alarm*:DetectMovementSPListener' '*telephony-radio*' 'screen']
1695740823849,1695740830838,6989,3729,1365,475.938657,1.774775,0.923982,12.403904,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['*telephony-radio*' 'screen']
1695740830838,1695740832034,1196,3729,1365,475.938657,1.774775,0.158117,2.122631,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['*launch*' '*telephony-radio*' 'screen']
1695740832034,1695740834935,2901,3729,1365,475.938657,1.774775,0.383527,5.148623,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['*telephony-radio*' 'screen']
1695740834935,1695740834941,6,3729,1365,475.938657,1.774775,0.000793,0.010649,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['GCM_WORK' '*telephony-radio*' 'screen']
1695740834941,1695740835717,776,3729,1365,475.938657,1.774775,0.102591,1.377226,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['*telephony-radio*' 'screen']
1695740835717,1695740835831,114,3729,1365,475.938657,1.774775,0.015071,0.202324,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['*launch*' '*telephony-radio*' 'screen']
1695740835831,1695740841063,5232,3729,1365,475.938657,1.774775,0.691698,9.285624,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['*telephony-radio*' 'screen']
1695740841063,1695740844121,3058,3729,1361,477.073946,1.779009,0.405248,5.440209,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['*telephony-radio*' 'screen']
1695740844121,1695740844123,2,3729,1361,477.073946,1.779009,0.000265,0.003558,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['GCM_WORK' '*telephony-radio*' 'screen']
1695740844123,1695740844146,23,3729,1361,477.073946,1.779009,0.003048,0.040917,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['*telephony-radio*' 'screen']
1695740844146,1695740844302,156,3729,1361,477.073946,1.779009,0.020673,0.277525,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['*launch*' '*telephony-radio*' 'screen']
1695740844302,1695740844876,574,3729,1361,477.073946,1.779009,0.076067,1.021151,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,['*telephony-radio*' 'screen']
1695740844876,1695740844932,56,3729,1361,477.073946,1.779009,0.007421,0.099624,['com.example.robotinteraction'],True,False,False,True,True,False,False,False,"['*alarm*:com.samsung.android.sdk.smp.TASK_ALARM' '*telephony-radio*'
 'screen']"
