start_time,end_time,Duration (mS),Voltage (mV),Remaining_charge (mAh),Intensity (mA),Power (W),Consumed charge(mAh),Energy (J),Top app,Screen(ON/OFF),GPS(ON/OFF),Mobile_Radio(ON/OFF),WiFi(ON/OFF),Wifi radio,Camera(ON/OFF),Video (ON/OFF),Audio(ON/OFF),Wakelock_in (Service)
1696435459142,1696435459145,3,3812,1654,152.940927,0.583011,0.000127,0.001749,['com.example.robotinteractionOttimizzataParz'],True,False,False,True,True,False,False,False,"['*alarm*:com.samsung.action.EVERY_MINUTE_CLOCK_UPDATE' '*launch*'
 'screen']"
1696435459145,1696435459238,93,3812,1654,152.940927,0.583011,0.003951,0.054220,['com.example.robotinteractionOttimizzataParz'],True,False,False,True,True,False,False,False,['*launch*' 'screen']
1696435459238,1696435462113,2875,3812,1654,152.940927,0.583011,0.122140,1.676156,['com.example.robotinteractionOttimizzataParz'],True,False,False,True,True,False,False,False,['screen']
1696435462113,1696435462153,40,3812,1654,152.940927,0.583011,0.001699,0.023320,['com.example.robotinteractionOttimizzataParz'],True,False,False,True,True,False,False,False,['NetworkStats' 'screen']
1696435462153,1696435465998,3845,3812,1654,152.940927,0.583011,0.163349,2.241677,['com.example.robotinteractionOttimizzataParz'],True,False,False,True,True,False,False,False,['screen']
1696435465998,1696435466004,6,3812,1654,152.940927,0.583011,0.000255,0.003498,['com.example.robotinteractionOttimizzataParz'],True,False,False,True,True,False,False,False,['*alarm*:DetectMovementSPListener' 'screen']
1696435466004,1696435484889,18885,3812,1654,152.940927,0.583011,0.802303,11.010159,['com.example.robotinteractionOttimizzataParz'],True,False,False,True,True,False,False,False,['screen']
1696435484889,1696435484899,10,3812,1654,152.940927,0.583011,0.000425,0.005830,['com.example.robotinteractionOttimizzataParz'],True,False,False,True,True,False,False,False,['*walarm*:com.google.android.gms.gcm.HEARTBEAT_ALARM' 'screen']
1696435484899,1696435484908,9,3812,1654,152.940927,0.583011,0.000382,0.005247,['com.example.robotinteractionOttimizzataParz'],True,False,False,True,True,False,False,False,['*walarm*:com.google.android.gms.gcm.HEARTBEAT_ALARM' 'GCM_WORK' 'screen']
1696435484908,1696435484911,3,3812,1654,152.940927,0.583011,0.000127,0.001749,['com.example.robotinteractionOttimizzataParz'],True,False,False,True,True,False,False,False,['GCM_WORK' 'screen']
1696435484911,1696435484913,2,3812,1654,152.940927,0.583011,0.000085,0.001166,['com.example.robotinteractionOttimizzataParz'],True,False,False,True,True,False,False,False,['GCM_READ' 'GCM_WORK' 'screen']
1696435484913,1696435484930,17,3812,1654,152.940927,0.583011,0.000722,0.009911,['com.example.robotinteractionOttimizzataParz'],True,False,False,True,True,False,False,False,['GCM_WORK' 'screen']
1696435484930,1696435484933,3,3812,1654,152.940927,0.583011,0.000127,0.001749,['com.example.robotinteractionOttimizzataParz'],True,False,False,True,True,False,False,False,['GCM_WORK' 'GCM_CONN_ALARM' 'screen']
1696435484933,1696435485068,135,3812,1654,152.940927,0.583011,0.005735,0.078706,['com.example.robotinteractionOttimizzataParz'],True,False,False,True,True,False,False,False,['GCM_CONN_ALARM' 'screen']
1696435485068,1696435485088,20,3812,1654,152.940927,0.583011,0.000850,0.011660,['com.example.robotinteractionOttimizzataParz'],True,False,False,True,True,False,False,False,['GCM_WORK' 'GCM_CONN_ALARM' 'screen']
1696435485088,1696435485164,76,3812,1654,152.940927,0.583011,0.003229,0.044309,['com.example.robotinteractionOttimizzataParz'],True,False,False,True,True,False,False,False,['GCM_CONN_ALARM' 'screen']
1696435485164,1696435485166,2,3812,1654,152.940927,0.583011,0.000085,0.001166,['com.example.robotinteractionOttimizzataParz'],True,False,False,True,True,False,False,False,['GCM_READ' 'GCM_CONN_ALARM' 'screen']
1696435485166,1696435485168,2,3812,1654,152.940927,0.583011,0.000085,0.001166,['com.example.robotinteractionOttimizzataParz'],True,False,False,True,True,False,False,False,['GCM_READ' 'GCM_CONN_ALARM' 'GCM_WORK' 'screen']
