metric,type,start_time,end_time,value,opt
Wakelock_in,service,1696436594795,1696436594796,*telephony-radio*,1001
Wakelock_in,service,1696436594796,1696436594805,*telephony-radio*,1000
Wakelock_in,service,1696436594805,1696436594806,*telephony-radio*,1001
Wakelock_in,service,1696436597037,1696436597044,Wakeful StateMachine: GeofencerStateMachine,10044
Wakelock_in,service,1696436597042,1696436597056,NlpWakeLock,10044
Wakelock_in,service,1696436597053,1696436597062,*telephony-radio*,1001
Wakelock_in,service,1696436597065,1696436597067,*telephony-sem-radio*,1001
Wakelock_in,service,1696436597062,1696436597072,*telephony-radio*,1000
Wakelock_in,service,1696436597072,1696436597073,*telephony-radio*,1001
Wakelock_in,service,1696436597067,1696436597079,*telephony-sem-radio*,1001
Wakelock_in,service,1696436597079,1696436597081,*telephony-sem-radio*,1001
Wakelock_in,service,1696436597081,1696436597086,*telephony-sem-radio*,1001
Wakelock_in,service,1696436597090,1696436597090,*telephony-sem-radio*,1001
Wakelock_in,service,1696436597083,1696436597096,IntentOp:.common.broadcast.BackgroundBroadcastReceiverSupport$PersistentReceiverIntentOperation,10044
Wakelock_in,service,1696436597218,1696436597220,*telephony-radio*,1001
Wakelock_in,service,1696436597189,1696436597224,NetworkStats,1000
Wakelock_in,service,1696436597222,1696436597228,*telephony-radio*,1000
Wakelock_in,service,1696436597228,1696436597229,*telephony-radio*,1001
Wakelock_in,service,1696436597243,1696436597245,*telephony-radio*,1001
Wakelock_in,service,1696436597245,1696436597251,*telephony-radio*,1000
Wakelock_in,service,1696436597251,1696436597256,*telephony-radio*,1001
Wakelock_in,service,1696436599383,1696436599389,*alarm*:com.samsung.action.EVERY_MINUTE_CLOCK_UPDATE,10113
Wakelock_in,service,1696436599618,1696436600037,*launch*,10031
Wakelock_in,service,1696436600983,1696436601016,NetworkStats,1000
Wakelock_in,service,1696436602884,1696436602890,GCM_WORK,10044
Wakelock_in,service,1696436606549,1696436606560,*alarm*:DetectMovementSPListener,1000
Wakelock_in,service,1696436609045,1696436609052,GCM_WORK,10044
Wakelock_in,service,1696436616723,1696436616724,*telephony-radio*,1001
Wakelock_in,service,1696436616725,1696436616758,*telephony-radio*,1001
Wakelock_in,service,1696436616758,1696436616761,*telephony-radio*,1001
Wakelock_in,service,1696436616717,1696436616965,RILJ_ACK_WL,1001
Wakelock_in,service,1696436618358,1696436618360,GCM_WORK,10044
Wakelock_in,service,1696436621451,1696436621455,GCM_WORK,10044
Wakelock_in,service,1696436624556,1696436624568,GCM_WORK,10044
Wakelock_in,service,1696436631558,1696436631691,*launch*,10031
Wakelock_in,service,1696436633849,1696436633861,GCM_WORK,10044
Wakelock_in,service,1696436640020,1696436640026,GCM_WORK,10044
Wakelock_in,service,1696436640059,1696436640060,*alarm*:TIME_TICK,1000
Wakelock_in,service,1696436643070,1696436643074,GCM_WORK,10044
Wakelock_in,service,1696436646694,1696436646908,*launch*,10031
Wakelock_in,service,1696436649328,1696436649332,*telephony-radio*,1001
Wakelock_in,service,1696436649332,1696436649364,*telephony-radio*,1001
Wakelock_in,service,1696436649364,1696436649366,*telephony-radio*,1001
Wakelock_in,service,1696436649319,1696436649574,RILJ_ACK_WL,1001
Wakelock_in,service,1696436652879,1696436653012,*launch*,10031
Wakelock_in,service,1696436665847,1696436666034,*launch*,10031
Wakelock_in,service,1696436666551,1696436666559,*alarm*:DetectMovementSPListener,1000
Wakelock_in,service,1696436688948,1696436688961,GCM_READ,10044
Wakelock_in,service,1696436688956,1696436688994,GCM_WORK,10044
Wakelock_in,service,1696436695119,1696436695119,AudioIn,1041
Wakelock_in,service,1696436695123,1696436695123,AudioIn,1041
Wakelock_in,service,1696436695089,1696436695600,com.samsung.android.bixby.wakeup:DspControlService,1000
Wakelock_in,service,1696436695123,1696436695615,AudioIn,1000
Wakelock_in,service,1696436695615,1696436695633,AudioIn,1041
Wakelock_in,service,1696436695643,1696436695644,AudioIn,1041
Wakelock_in,service,1696436695175,1696436698177,AudioMix,1041
Wakelock_in,service,1696436700052,1696436700054,*alarm*:TIME_TICK,1000
Wakelock_in,service,1696436715464,1696436715619,*launch*,10031
Wakelock_in,service,1696436719325,1696436719325,AudioIn,1041
Wakelock_in,service,1696436719330,1696436719331,AudioIn,1041
Wakelock_in,service,1696436719304,1696436719809,com.samsung.android.bixby.wakeup:DspControlService,1000
Wakelock_in,service,1696436719331,1696436719826,AudioIn,1000
Wakelock_in,service,1696436719826,1696436719843,AudioIn,1041
Wakelock_in,service,1696436719856,1696436719856,AudioIn,1041
Wakelock_in,service,1696436719377,1696436722386,AudioMix,1041
Wakelock_in,service,1696436724777,1696436724886,*launch*,10031
